,time,prod_gen_44,export_node_127,load_node_153,prod_gen_30,prod_gen_4,prod_gen_20,prod_gen_13,load_node_98,prod_gen_33,prod_gen_29,prod_gen_21,prod_gen_40,load_node_134,prod_gen_41,prod_gen_25,prod_gen_42,prod_gen_22,load_node_63,prod_gen_16,prod_gen_15
0,2012-01-01 00:00:00,0.0,1668.821392,55.093,0.0,240.0,0.0,60.0,28.1763,0.0,132.0,0.0,206.0,2.0251,0.0,957.0,0.0,191.6,9.6344,0.0,139.0
1,2012-01-01 01:00:00,0.0,1667.3315890000001,51.368,0.0,240.0,0.0,60.0,26.2146,0.0,132.0,0.0,206.0,1.8834,0.0,957.0,0.0,191.6,8.9604,0.0,139.0
2,2012-01-01 02:00:00,0.0,1668.543575,48.0104,0.0,240.0,0.0,60.0,24.4661,0.0,132.0,0.0,206.0,1.7574,0.0,957.0,0.0,191.6,8.3607,0.0,139.0
3,2012-01-01 03:00:00,0.0,1668.607764,45.6761,0.0,240.0,0.0,60.0,23.3269,0.0,132.0,0.0,206.0,1.6761,0.0,957.0,0.0,191.6,7.9743,0.0,139.0
4,2012-01-01 04:00:00,0.0,1667.464172,44.6987,0.0,240.0,0.0,60.0,22.899,0.0,132.0,0.0,206.0,1.6463,0.0,957.0,0.0,191.6,7.8321,0.0,139.0
5,2012-01-01 05:00:00,0.0,1667.794269,44.4467,0.0,240.0,0.0,60.0,22.8241,0.0,132.0,0.0,206.0,1.6415,0.0,957.0,0.0,191.6,7.8096,0.0,139.0
6,2012-01-01 06:00:00,0.0,1668.256322,44.5355,0.0,240.0,0.0,60.0,22.9061,0.0,132.0,0.0,206.0,1.6479,0.0,957.0,0.0,191.6,7.8397,0.0,139.0
7,2012-01-01 07:00:00,0.0,1667.979369,43.7847,0.0,240.0,0.0,60.0,22.514,0.0,132.0,0.0,206.0,1.6196,0.0,957.0,0.0,191.6,7.7052,0.0,139.0
8,2012-01-01 08:00:00,0.0,1669.093335,44.0983,0.0,48.0,0.0,60.0,22.7774,0.0,132.0,0.0,206.0,1.6398,0.0,191.4,0.0,191.6,7.8012,0.0,139.0
9,2012-01-01 09:00:00,0.0,1672.425214,46.6644,0.0,0.0,0.0,0.0,24.1631,0.0,0.0,0.0,206.0,1.7402,0.0,0.0,0.0,0.0,8.2791,0.0,0.0
10,2012-01-01 10:00:00,0.0,1251.077291,50.0138,0.0,0.0,0.0,0.0,25.8698,0.0,0.0,0.0,0.0,1.8628,0.0,0.0,0.0,0.0,8.8624,0.0,0.0
11,2012-01-01 11:00:00,0.0,16.944381,51.8567,0.0,0.0,0.0,0.0,26.7083,0.0,0.0,0.0,0.0,1.9218,0.0,0.0,0.0,0.0,9.1431,0.0,0.0
